typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_fminknap,resOpt_v1,resOpt,resFmin
inv,0.000000,1.048866,1.039954,0.000018,19844.732759,19844.732759,19844.732759
inv,0.000000,1.042622,1.042304,0.000023,23950.929024,23950.929024,23950.929024
inv,0.000000,1.044482,1.048156,0.000040,20251.962667,20251.962667,20251.962667
inv,0.000000,1.044565,1.039452,0.000021,20800.201035,20800.201035,20800.201035
inv,0.000000,1.047109,1.039200,0.000016,23956.384798,23956.384798,23956.384798
inv,0.000000,1.045199,1.042287,0.000019,26100.104109,26100.104109,26100.104109
inv,0.000000,1.046567,1.041090,0.000017,22769.129570,22769.129570,22769.129570
inv,0.000000,1.049286,1.050360,0.000015,24745.590524,24745.590524,24745.590524
str,0.000000,0.058520,0.059991,0.000015,50802.414830,50802.414830,50802.414830
str,0.000000,0.058611,0.058458,0.000021,57756.236401,57756.236401,57756.236401
str,0.000000,0.060427,0.063113,0.000018,53644.373727,53644.373727,53644.373727
str,0.000000,0.063658,0.063802,0.000021,43035.837828,43035.837828,43035.837828
str,0.000000,0.064624,0.064575,0.000019,45266.191995,45266.191995,45266.191995
str,0.000001,0.064191,0.064383,0.000019,47536.181439,47536.181439,47536.181439
str,0.000000,0.063857,0.063708,0.000022,46306.680567,46306.680567,46306.680567
str,0.000000,0.063865,0.064276,0.000023,50725.120159,50725.120159,50725.120159
str,0.000000,0.063895,0.063925,0.000018,45153.908835,45153.908835,45153.908835
str,0.000000,0.067305,0.066725,0.000018,53643.997913,53643.997913,53643.997913
str,0.000001,0.065779,0.063843,0.000017,50609.461527,50609.461527,50609.461527
str,0.000000,0.060798,0.068636,0.000023,47600.467324,47600.467324,47600.467324
str,0.000000,0.066659,0.061266,0.000019,48245.356532,48245.356532,48245.356532
str,0.000000,0.061017,0.064951,0.000012,45051.010954,45051.010954,45051.010954
str,0.000001,0.064722,0.061413,0.000027,45875.077585,45888.370284,45888.370284
str,0.000000,0.058633,0.064426,0.000021,59462.652389,59462.652389,59462.652389
str,0.000000,0.061579,0.061076,0.000027,46288.412683,46288.412683,46288.412683
str,0.000001,0.058441,0.062239,0.000037,41883.917236,41883.917236,41883.917236
str,0.000000,0.058971,0.058531,0.000021,50903.748272,50903.748272,50903.748272
str,0.000000,0.058211,0.059401,0.000020,49047.847249,49047.847249,49047.847249
str,0.000000,0.060576,0.060834,0.000020,47256.150989,47256.150989,47256.150989
str,0.000000,0.061136,0.060968,0.000015,44502.358852,44502.358852,44502.358852
str,0.000000,0.062352,0.062032,0.000020,50504.111975,50504.111975,50504.111975
str,0.000000,0.061324,0.062036,0.000018,49002.829601,49002.829601,49002.829601
str,0.000000,0.061081,0.059753,0.000016,41510.072254,41510.072254,41510.072254
str,0.000000,0.058572,0.058429,0.000018,48595.735604,48595.735604,48595.735604
str,0.000000,0.058594,0.059470,0.000013,50347.819979,50517.200483,50517.200483
str,0.000000,0.058601,0.058473,0.000019,43287.376757,43287.376757,43287.376757
str,0.000000,0.058877,0.059906,0.000022,45687.983554,45687.983554,45687.983554
str,0.000000,0.058399,0.060326,0.000019,51931.473529,51931.473529,51931.473529
