typename,s_size_v1,s_size_v2,s_size_v1_1,s_size_v2_1,time_ks2_allocation,time_ks2_v2,time_ks2_v2_allocation_1,time_ks2_v2_1,time_ks2_v1_allocation,time_ks2_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,time_original
almost,403,208,403,208,0.000008,0.002646,0.000006,0.000095,0.000013,0.003421,0.000014,0.000098,0.008584
almost,403,208,403,208,0.000009,0.002718,0.000008,0.000107,0.000014,0.003414,0.000014,0.000154,0.008208
almost,403,208,403,208,0.000008,0.002678,0.000007,0.000112,0.000015,0.003409,0.000014,0.000116,0.005299
almost,403,208,403,208,0.000004,0.002351,0.000005,0.000090,0.000008,0.002585,0.000007,0.000055,0.004319
almost,403,208,403,208,0.000005,0.001968,0.000004,0.000066,0.000007,0.002431,0.000007,0.000064,0.003788
almost,403,208,403,208,0.000005,0.002015,0.000004,0.000074,0.000007,0.002450,0.000007,0.000059,0.003734
almost,403,208,403,208,0.000004,0.002011,0.000004,0.000061,0.000007,0.002398,0.000007,0.000075,0.003755
almost,403,208,403,208,0.000004,0.002010,0.000004,0.000069,0.000008,0.002432,0.000007,0.000050,0.003771
almost,403,208,403,208,0.000004,0.001933,0.000004,0.000072,0.000007,0.002398,0.000007,0.000059,0.003791
almost,403,208,403,208,0.000005,0.001921,0.000004,0.000071,0.000008,0.002424,0.000007,0.000058,0.003733
almost,403,208,403,208,0.000004,0.001929,0.000004,0.000060,0.000007,0.002408,0.000007,0.000068,0.003751
almost,403,208,403,208,0.000005,0.002011,0.000004,0.000060,0.000007,0.002418,0.000007,0.000064,0.003678
almost,403,208,403,208,0.000004,0.001970,0.000003,0.000057,0.000007,0.002382,0.000007,0.000052,0.003737
almost,403,208,403,208,0.000004,0.001932,0.000004,0.000064,0.000007,0.002457,0.000007,0.000045,0.003678
almost,403,208,403,208,0.000004,0.001943,0.000004,0.000068,0.000007,0.002389,0.000007,0.000046,0.003784
almost,403,208,403,208,0.000005,0.001954,0.000004,0.000069,0.000007,0.002445,0.000007,0.000052,0.003695
almost,403,208,403,208,0.000004,0.001944,0.000004,0.000067,0.000008,0.002384,0.000007,0.000046,0.003779
almost,403,208,403,208,0.000005,0.001966,0.000003,0.000069,0.000007,0.002407,0.000007,0.000052,0.003709
almost,403,208,403,208,0.000004,0.001950,0.000004,0.000063,0.000007,0.002418,0.000007,0.000041,0.003764
almost,403,208,403,208,0.000005,0.001957,0.000004,0.000061,0.000007,0.002387,0.000007,0.000044,0.003712
almost,403,208,403,208,0.000005,0.001961,0.000003,0.000056,0.000007,0.002408,0.000007,0.000044,0.003736
almost,403,208,403,208,0.000005,0.001970,0.000004,0.000060,0.000008,0.002403,0.000007,0.000063,0.003676
almost,403,208,403,208,0.000004,0.001963,0.000004,0.000058,0.000007,0.002422,0.000007,0.000044,0.003741
almost,403,208,403,208,0.000005,0.001952,0.000004,0.000058,0.000008,0.002444,0.000007,0.000044,0.003684
almost,403,208,403,208,0.000005,0.001955,0.000004,0.000057,0.000007,0.002463,0.000007,0.000044,0.003680
almost,403,208,403,208,0.000004,0.001924,0.000004,0.000070,0.000007,0.002397,0.000008,0.000051,0.003744
almost,403,208,403,208,0.000005,0.001926,0.000004,0.000069,0.000007,0.002451,0.000008,0.000053,0.003783
almost,403,208,403,208,0.000004,0.001925,0.000004,0.000067,0.000008,0.002383,0.000007,0.000046,0.003709
almost,403,208,403,208,0.000005,0.001951,0.000003,0.000061,0.000016,0.002449,0.000007,0.000066,0.003802
