typename,original,columOpt_prealloc,columOpt_prealloc_V1,fminknap,resOpt,resFmin
str,0.000755,0.000212,0.000421,0.000005,511.038255,511.038255,511.038255
str,0.000795,0.000205,0.000206,0.000005,516.702068,516.702068,516.702068
str,0.000743,0.000207,0.000207,0.000004,458.368132,458.368132,458.368132
str,0.000730,0.000205,0.000206,0.000006,660.989134,660.989134,660.989134
str,0.000880,0.000204,0.000205,0.000003,522.860598,522.860598,522.860598
str,0.000743,0.000205,0.000206,0.000005,524.488363,524.488363,524.488363
str,0.000739,0.000214,0.000206,0.000005,546.350064,546.350064,546.350064
str,0.000748,0.000205,0.000206,0.000006,452.527192,452.527192,452.527192
str,0.000769,0.000214,0.000215,0.000008,435.990638,435.990638,435.990638
str,0.000742,0.000206,0.000206,0.000005,535.399322,535.399322,535.399322
str,0.000748,0.000206,0.000207,0.000005,410.249800,410.249800,410.249800
str,0.000744,0.000222,0.000217,0.000007,477.232845,477.232845,477.232845
str,0.000743,0.000207,0.000207,0.000005,509.141780,509.141780,509.141780
str,0.000793,0.000208,0.000209,0.000006,462.932435,462.932435,462.932435
str,0.000836,0.000347,0.000228,0.000007,510.765023,510.765023,510.765023
str,0.000761,0.000377,0.000212,0.000005,519.914234,519.914234,519.914234
str,0.000745,0.000206,0.000207,0.000006,574.676340,574.676340,574.676340
str,0.000732,0.000206,0.000207,0.000006,580.622451,580.622451,580.622451
str,0.000863,0.000206,0.000206,0.000005,565.418398,565.418398,565.418398
str,0.000831,0.000208,0.000209,0.000006,452.876709,452.876709,452.876709
str,0.000743,0.000205,0.000246,0.000006,581.400570,581.400570,581.400570
str,0.000732,0.000205,0.000207,0.000002,612.172915,612.172915,612.172915
str,0.000748,0.000434,0.000206,0.000007,562.479087,562.479087,562.479087
str,0.000731,0.000272,0.000206,0.000008,605.844830,605.844830,605.844830
str,0.000765,0.000209,0.000209,0.000005,509.074329,509.074329,509.074329
str,0.000743,0.000206,0.000207,0.000003,490.613669,490.613669,490.613669
str,0.000742,0.000207,0.000208,0.000007,469.007567,469.007567,469.007567
str,0.001012,0.000206,0.000249,0.000005,560.300309,560.300309,560.300309
