typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_ks2_v1_nocol_noalloc,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_fminknap,resOpt_v1,resOpt,resFmin
s_div: 19974, s_cut: 17855
almost,0.000000,0.547187,0.027041,0.000000,0.006681,0.010431,0.006681,0.010431,0.006681,0.010431,0.000014,366573.048023,36058.246332,38386.617931
almost,0.000000,0.556737,0.026333,0.000000,0.012593,0.010423,0.012593,0.010423,0.012593,0.010423,0.000012,437387.619673,40548.367202,42192.150734
almost,0.000000,0.549153,0.030075,0.000000,0.008479,0.010941,0.008479,0.010941,0.008479,0.010941,0.000013,422004.584213,42958.414149,45651.648324
almost,0.000000,0.580212,0.026415,0.000000,0.007253,0.010870,0.007253,0.010870,0.007253,0.010870,0.000010,437869.041052,39573.043003,40765.140337
almost,0.000000,0.554604,0.026660,0.000000,0.012331,0.010247,0.012331,0.010247,0.012331,0.010247,0.000013,406326.101488,39952.605170,42690.483129
almost,0.000000,0.551349,0.026887,0.000000,0.007056,0.010340,0.007056,0.010340,0.007056,0.010340,0.000011,419127.036450,42334.405642,42544.538921
almost,0.000000,0.589289,0.031798,0.000000,0.008574,0.010399,0.008574,0.010399,0.008574,0.010399,0.000009,403855.961780,35879.429215,36794.581365
almost,0.000000,0.565882,0.026081,0.000000,0.007420,0.011588,0.007420,0.011588,0.007420,0.011588,0.000011,431006.819952,46005.977775,47025.515630
almost,0.000000,0.549272,0.026289,0.000000,0.006895,0.010330,0.006895,0.010330,0.006895,0.010330,0.000013,388559.887756,38456.587668,39953.185801
almost,0.000000,0.547896,0.025922,0.000000,0.006704,0.010314,0.006704,0.010314,0.006704,0.010314,0.000014,414899.626428,36869.684164,40349.774991
almost,0.000000,0.570658,0.030092,0.000000,0.007386,0.010378,0.007386,0.010378,0.007386,0.010378,0.000009,404663.519577,41124.067763,41800.967217
almost,0.000000,0.561052,0.026800,0.000000,0.006917,0.012569,0.006917,0.012569,0.006917,0.012569,0.000010,433923.576783,35520.391599,37615.731879
almost,0.000000,0.560517,0.026898,0.000000,0.009209,0.010806,0.009209,0.010806,0.009209,0.010806,0.000013,449449.046012,39742.694594,41246.612870
almost,0.000000,0.553791,0.026608,0.000000,0.007133,0.010338,0.007133,0.010338,0.007133,0.010338,0.000009,437222.865794,42013.831811,44708.745133
almost,0.000000,0.561299,0.027540,0.000000,0.009906,0.010406,0.009906,0.010406,0.009906,0.010406,0.000010,397965.018825,47796.939354,48063.823412
