typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_fminknap,resOpt_v1,resOpt,resFmin
inv,0.182115,0.059681,0.055161,0.000005,11826.120198,11826.120198,11826.120198
inv,0.157623,0.059201,0.053076,0.000005,15474.146600,15474.146600,15474.146600
inv,0.150852,0.052635,0.049126,0.000005,22857.626965,22857.626965,22857.626965
inv,0.165560,0.054391,0.049539,0.000006,16910.933738,16910.933738,16910.933738
inv,0.144296,0.054573,0.049010,0.000007,14519.089449,14519.089449,14519.089449
inv,0.151383,0.051753,0.049568,0.000008,14327.177736,14327.177736,14327.177736
inv,0.154548,0.053205,0.049223,0.000006,19278.254840,19278.254840,19278.254840
inv,0.188649,0.060067,0.058296,0.000007,13938.678650,13938.678650,13938.678650
inv,0.171969,0.063921,0.061409,0.000008,16443.399129,16443.399129,16443.399129
inv,0.164176,0.073877,0.062244,0.000007,13742.229724,13742.229724,13742.229724
inv,0.151767,0.056026,0.053725,0.000006,13642.957892,13642.957892,13642.957892
inv,0.203075,0.058497,0.057902,0.000007,19798.136598,19798.136598,19798.136598
inv,0.199824,0.070804,0.065215,0.000005,16849.351788,16849.351788,16849.351788
inv,0.192632,0.061862,0.061148,0.000010,14102.241647,14102.241647,14102.241647
inv,0.198144,0.060315,0.062574,0.000003,22216.324553,22216.324553,22216.324553
inv,0.184057,0.066219,0.056383,0.000007,13974.357629,13974.357629,13974.357629
inv,0.203177,0.060888,0.055123,0.000008,14563.036193,14563.036193,14563.036193
inv,0.160699,0.063775,0.057696,0.000004,23258.908866,23258.908866,23258.908866
inv,0.156438,0.052238,0.049084,0.000005,22431.542340,22431.542340,22431.542340
inv,0.198533,0.055861,0.049485,0.000007,13548.648227,13548.648227,13548.648227
inv,0.196897,0.066005,0.061119,0.000006,13699.891136,13699.891136,13699.891136
inv,0.145560,0.060145,0.057957,0.000006,16748.048612,16748.048612,16748.048612
inv,0.145248,0.051835,0.049738,0.000006,17612.332152,17612.332152,17612.332152
inv,0.149723,0.052499,0.052441,0.000007,13908.054639,13908.054639,13908.054639
inv,0.143388,0.056572,0.049318,0.000006,17058.826762,17058.826762,17058.826762
inv,0.147800,0.051927,0.048598,0.000004,16365.594835,16365.594835,16365.594835
inv,0.147604,0.053542,0.050507,0.000008,16748.573922,16748.573922,16748.573922
inv,0.145322,0.053823,0.048902,0.000006,17538.856333,17538.856333,17538.856333
inv,0.152199,0.051962,0.048666,0.000005,17323.933406,17323.933406,17323.933406
inv,0.144742,0.056325,0.050409,0.000006,15546.622768,15546.622768,15546.622768
inv,0.152197,0.052508,0.052383,0.000007,15636.545576,15636.545576,15636.545576
inv,0.144834,0.056956,0.049553,0.000005,14716.352828,14716.352828,14716.352828
inv,0.148643,0.055196,0.051375,0.000007,18709.570350,18709.570350,18709.570350
inv,0.143629,0.056997,0.050170,0.000006,13911.735154,13911.735154,13911.735154
inv,0.148664,0.052027,0.051599,0.000006,20969.354124,20969.354124,20969.354124
inv,0.148394,0.054208,0.048535,0.000007,18630.735038,18630.735038,18630.735038
inv,0.149371,0.051730,0.049100,0.000006,12350.599008,12350.599008,12350.599008
inv,0.147438,0.052485,0.049413,0.000005,20470.867451,20470.867451,20470.867451
inv,0.145348,0.051750,0.049780,0.000008,16228.693145,16228.693145,16228.693145
inv,0.145036,0.052090,0.049396,0.000018,12294.482716,12294.482716,12294.482716
inv,0.144050,0.053607,0.049945,0.000006,15045.190253,15045.190253,15045.190253
inv,0.148247,0.051907,0.048756,0.000005,20821.331281,20821.331281,20821.331281
inv,0.153143,0.055193,0.053675,0.000007,15905.951512,15905.951512,15905.951512
inv,0.155231,0.052715,0.049897,0.000005,20549.893202,20549.893202,20549.893202
inv,0.165083,0.054198,0.050302,0.000007,12817.131931,12817.131931,12817.131931
inv,0.155076,0.059229,0.052547,0.000006,20734.919848,20734.919848,20734.919848
str,0.109152,0.032581,0.029927,0.000006,36174.998309,36174.998309,36174.998309
str,0.108156,0.034790,0.030471,0.000005,33083.103169,33083.103169,33083.103169
str,0.102479,0.029724,0.029142,0.000007,29860.926068,29860.926068,29860.926068
str,0.108281,0.030627,0.029589,0.000007,34180.919548,34180.919548,34180.919548
str,0.128726,0.034038,0.028785,0.000008,27311.959695,27311.959695,27311.959695
str,0.112514,0.033193,0.029269,0.000006,37455.560887,37455.560887,37455.560887
str,0.120450,0.030041,0.028380,0.000008,31167.774428,31167.774428,31167.774428
str,0.108260,0.032481,0.031114,0.000005,32508.514447,32508.514447,32508.514447
str,0.108844,0.029866,0.027069,0.000004,31052.619225,31052.619225,31052.619225
str,0.101944,0.030574,0.027026,0.000012,26293.904910,26293.904910,26293.904910
str,0.120457,0.033509,0.028988,0.000006,29207.923088,29207.923088,29207.923088
str,0.123134,0.035130,0.029073,0.000004,30992.846845,30992.846845,30992.846845
str,0.106132,0.033368,0.029107,0.000006,27787.047377,27787.047377,27787.047377
str,0.199807,0.030450,0.027815,0.000006,30440.096984,30440.096984,30440.096984
str,0.191210,0.034507,0.047770,0.000026,30360.405862,30360.405862,30360.405862
str,0.182942,0.051794,0.039428,0.000009,34628.362917,34628.362917,34628.362917
str,0.179302,0.048666,0.062596,0.000008,37167.146626,37167.146626,37167.146626
str,0.144222,0.038655,0.035706,0.000006,31759.415753,31759.415753,31759.415753
str,0.193852,0.040705,0.039339,0.000008,40849.434173,40849.434173,40849.434173
str,0.190714,0.039264,0.043431,0.000011,40959.874356,40959.874356,40959.874356
str,0.170336,0.047205,0.049587,0.000007,25989.229365,25989.229365,25989.229365
str,0.142858,0.039783,0.034461,0.000006,27202.343507,27202.343507,27202.343507
str,0.131730,0.037695,0.034520,0.000007,27431.350168,27431.350168,27431.350168
str,0.132793,0.037603,0.034909,0.000007,31852.394785,31852.394785,31852.394785
str,0.133663,0.038183,0.035276,0.000007,32455.882317,32455.882317,32455.882317
str,0.132598,0.037515,0.034247,0.000007,29039.367896,29039.367896,29039.367896
str,0.132884,0.037825,0.035791,0.000010,27729.179083,27729.179083,27729.179083
str,0.141147,0.038197,0.034461,0.000009,25433.411455,25433.411455,25433.411455
str,0.140928,0.040655,0.038892,0.000009,33232.680866,33232.680866,33232.680866
str,0.129367,0.039978,0.034118,0.000008,28860.445282,28860.445282,28860.445282
